exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10119918,0.944992737640632,0.102303446001195,2.53139377186648e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs62461162,0.959437252527137,0.102569890723034,8.44059610381897e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs62471111,0.947907042496454,0.102576225806108,2.44201016065019e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6421926,0.93954885058744,0.101889694210028,2.93696752152823e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6425280,0.963007329614571,0.102345391814791,4.99042012754029e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6496749,0.943579791234773,0.102180278565025,2.59589804041856e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6504573,0.933439946316809,0.100733834195307,1.9253566238757e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6682184,0.949282397306163,0.102578707078501,2.15869660248442e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6693271,0.962485402835818,0.102296888750906,5.02093025617684e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6856015,0.957211488533992,0.102194637605515,7.49399896741017e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs6896622,0.94060915084596,0.102199184101328,3.45878480349324e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7131681,0.935027189918992,0.101910687606405,4.51713036295011e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs72726683,0.948494541029756,0.102476393947514,2.12757699373531e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs72948529,0.947466449360148,0.102434897201095,2.25650992227132e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7316486,0.968964057431768,0.102313304418211,2.78353413704801e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs74927091,0.94795965398549,0.102611241862914,2.50302703628456e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs753019,0.955396114447462,0.1025475257653,1.20107838342498e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs76003396,0.953852047014514,0.102670761019273,1.53715071833142e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs77087420,0.932876510288355,0.100892336998752,2.32491001417329e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs77186188,0.965191385745858,0.102122967346816,3.34755246816191e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs77324279,0.951387166110391,0.102610888851225,1.83038523634486e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs77554090,0.95501348228467,0.102441895299746,1.13642101331168e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7816150,0.946243955140926,0.102318766394107,2.28732271227925e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7822537,0.946543763527882,0.102440158157359,2.46571411469382e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs78278828,0.953727007799045,0.10256502532753,1.42100229036304e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs784258,0.947281642336847,0.102466663131037,2.35727620130712e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7920282,0.952699086683606,0.102613435053362,1.62696565899645e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7922843,0.955342909522872,0.102564447071196,1.22456646263193e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs7932056,0.950068615052051,0.102471385134538,1.83459447236867e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs79367567,0.957787916775574,0.102240423967503,7.39224612021527e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs8073904,0.948560919907691,0.102523727345143,2.20101681736395e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs8089865,0.951094873969075,0.102828487210652,2.2589884362719e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs8140184,0.95018070380399,0.102501727504414,1.86321548386652e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs818215,0.964566059471988,0.102381141984555,4.45429109654664e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs82334,0.952552248897285,0.102898228636332,2.09810451616493e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs857251,0.959956387870242,0.102278730440189,6.250622502323e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs877995,0.952530755745746,0.102641625824813,1.69223551339957e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9306316,0.954083035514356,0.102622339892802,1.44422650139423e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs937542,0.960461541263033,0.102254488369418,5.83957241020936e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9390489,0.957019133334902,0.102526721038609,1.01623704570126e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9586,0.930190555191092,0.100864954867012,2.91233726533118e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9611555,0.934877893173127,0.101517176445303,3.2898951420188e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9637615,0.962781307936825,0.102153666853896,4.30788230452964e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs9983966,0.951996426011192,0.102608170448064,1.72723934441886e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,All,0.953212414128587,0.10201778260335,9.31212184165857e-21,DD
